 Height,Alarm Call Type,Site,Order
40,B,tdxy,6
40,B,tdxy,6
27,B,tdxy,7
27,B,tdxy,7
27,B,tdxy,7
27,B,tdxy,7
27,B,tdxy,7
27,B,tdxy,7
27,B,tdxy,7
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
68,A,lyj,1
39,A,lyj,2
39,A,lyj,2
68,B,lyj,3
68,B,lyj,3
68,B,lyj,3
68,B,lyj,3
68,B,lyj,3
68,B,lyj,3
41,B,lyj,4
41,B,lyj,4
41,B,lyj,4
41,B,lyj,4
41,B,lyj,4
41,B,lyj,4
39,B,lyj,5
39,B,lyj,5
39,B,lyj,5
39,B,lyj,5
17,B,lyj,6
17,B,lyj,6
17,B,lyj,6
17,B,lyj,6
17,B,lyj,6
