Height,Element,Peak Freq (Hz),Length(ms),Interval of c-c (ms),Site,Order,Number of c note
55,c,3531.445,0.0807,66.4,tdxy,3,4
32,c,4306.641,0.0807,46.6,tdxy,4,5
32,c,4048.242,0.0754,53.8,tdxy,4,7
32,c,2842.383,0.0789,46.6,tdxy,4,5
32,c,3617.578,0.0718,44.9,tdxy,4,7
19,c,4306.641,0.0789,77.1,tdxy,6,5
19,c,4737.305,0.0646,71.8,tdxy,6,3
19,c,4220.508,0.0897,93.3,tdxy,6,4
19,c,4478.906,0.0825,43.1,tdxy,6,3
19,c,2497.852,0.0863,83.7,tdxy,6,2
19,c,3703.711,0.0939,86.3,tdxy,6,2
19,c,4134.375,0.1015,81.2,tdxy,6,11
19,c,4048.242,0.0843,46.6,tdxy,6,6
19,c,3617.578,0.0897,39.5,tdxy,6,6
67,c,4134.375,0.0843,57.4,tdxy,2,4
48,c,3962.109,0.0897,52,tdxy,4,11
48,c,3703.711,0.1023,39.5,tdxy,4,11
40,c,3703.711,0.0646,78.9,tdxy,6,3
40,c,3617.578,0.0754,73.6,tdxy,6,2
27,c,4048.242,0.0736,52,tdxy,7,3
27,c,4220.508,0.0769,91.5,tdxy,7,2
68,c,3703.711,0.0718,95.1,lyj,1,3
41,c,3789.844,0.0646,68.2,lyj,4,4
17,c,3962.109,0.0879,52,lyj,6,8
17,c,4392.773,0.1023,46.6,lyj,6,6
39,a,2325.586,0.7607,,txg,1,
59,a,2583.984,0.3517,,txg,3,
80,a,2842.383,0.5454,,lgd,2,
80,a,2583.984,0.7679,,lgd,2,
75,a,2670.117,0.9904,,lgd,3,
75,a,2497.852,1.0119,,lgd,3,
75,a,3100.781,1.0693,,lgd,3,
31,a,2325.586,0.9545,,lgd,6,
37,a,2756.25,0.5813,,xjhy,2,
37,a,2756.25,0.6315,,xjhy,2,
78,a,2411.719,0.61,,tdxy,1,
73,a,3445.312,0.8397,,tdxy,2,
100,a,2497.852,0.7033,,yhgy,1,
70,a,3359.18,0.9473,,yhgy,2,
70,a,2928.516,0.8899,,yhgy,2,
70,a,3186.914,0.7966,,yhgy,2,
70,a,4048.242,0.7894,,yhgy,2,
70,a,3100.781,0.5167,,yhgy,2,
70,a,3445.312,0.7822,,yhgy,2,
70,a,3531.445,0.6818,,yhgy,2,
43,a,3617.578,0.8181,,yhgy,3,
43,a,2670.117,0.5598,,yhgy,3,
43,a,2842.383,0.732,,yhgy,3,
43,a,3531.445,0.6531,,yhgy,3,
22,a,2325.586,0.7248,,yhgy,7,
22,a,2239.453,0.9545,,yhgy,7,
22,a,2411.719,0.2799,,yhgy,7,
5,a,2842.383,0.6315,,yhgy,8,
74,a,2239.453,1.1195,,lgd,3,
15,a,2411.719,0.5813,,lgd,6,
15,a,2325.586,0.4593,,lgd,6,
42,a,3703.711,0.5454,,tdxy,3,
42,a,3014.648,0.5598,,tdxy,3,
34,a,2411.719,1.4568,,tdxy,4,
34,a,2583.984,0.4162,,tdxy,4,
34,a,2670.117,1.1841,,tdxy,4,
105,a,3014.648,0.7535,,lgd,1,
105,a,2411.719,0.8181,,lgd,1,
105,a,2670.117,1.0693,,lgd,1,
105,a,3445.312,1.0693,,lgd,1,
105,a,3445.312,0.7679,,lgd,1,
105,a,3703.711,0.7535,,lgd,1,
105,a,3359.18,0.8253,,lgd,1,
66,a,2670.117,0.7248,,tdxy,1,
89,a,3617.578,0.8253,,tdxy,3,
89,a,2842.383,0.7966,,tdxy,3,
33,a,2670.117,0.8397,,tdxy,5,
27,a,2670.117,0.61,,txg,6,
27,a,3273.047,0.8325,,txg,6,
27,a,3273.047,0.5598,,txg,6,
27,a,2411.719,0.1579,,txg,6,
70,a,2497.852,0.5024,,lyj,1,
34,a,2325.586,0.7177,,lyj,3,
44,a,3100.781,1.4999,,lyj,1,
44,a,2670.117,0.5382,,lyj,1,
78,a,2842.383,0.61,,lyj,2,
104,a,3617.578,1.1554,,lyj,3,
76,a,2583.984,0.6531,,lyj,4,
76,a,2583.984,0.6602,,lyj,4,
76,a,3617.578,1.1195,,lyj,4,
76,a,2583.984,0.8899,,lyj,4,
76,a,3531.445,1.2487,,lyj,4,
60,a,2670.117,0.7392,,lyj,6,
60,a,2497.852,0.8827,,lyj,6,
34,a,2583.984,0.8684,,lyj,8,
34,a,2583.984,0.9258,,lyj,8,
81,a,2670.117,0.5454,,tdxy,2,
81,a,3014.648,0.488,,tdxy,2,
30,a,3617.578,0.4808,,tdxy,5,
30,a,3359.18,0.2368,,tdxy,5,
30,a,3531.445,0.2584,,tdxy,5,
48,a,3100.781,0.4737,,tdxy,2,
